Regulon_ID,HRFrench,Cox-p-valueFrench
2389,6.883918259,5.82E-12
3683,-6.883007528,5.86E-12
789,6.881873318,5.91E-12
1327,6.879257166,6.02E-12
2033,6.873900119,6.25E-12
292,6.866921417,6.56E-12
1550,6.866575577,6.58E-12
2484,6.864964481,6.65E-12
3176,6.862114975,6.78E-12
551,6.858964659,6.94E-12
104,6.857034134,7.03E-12
1200,6.856130517,7.08E-12
2264,6.856015835,7.08E-12
861,6.850913978,7.34E-12
2410,6.850684462,7.35E-12
121,6.848137169,7.48E-12
2955,6.847879792,7.50E-12
414,-6.844758739,7.66E-12
3236,6.837452497,8.06E-12
1515,6.834394983,8.24E-12
3542,-6.831870982,8.38E-12
1513,6.829879486,8.50E-12
987,-6.828090537,8.61E-12
319,6.816701631,9.32E-12
798,6.815474753,9.40E-12
2821,6.811958586,9.63E-12
642,6.811214587,9.68E-12
404,6.809020411,9.83E-12
1545,-6.808281533,9.88E-12
3508,6.805495315,1.01E-11
997,6.804102292,1.02E-11
2824,6.800633476,1.04E-11
1096,-6.798721602,1.06E-11
1098,6.795920067,1.08E-11
678,6.789197393,1.13E-11
2998,-6.789149029,1.13E-11
3592,6.788597973,1.13E-11
3192,-6.785846787,1.15E-11
374,6.783974469,1.17E-11
329,-6.783668122,1.17E-11
771,6.779347223,1.21E-11
2085,6.779071647,1.21E-11
3624,-6.77734834,1.22E-11
3165,6.777091095,1.23E-11
2520,6.775390132,1.24E-11
2729,6.774150754,1.25E-11
453,6.768822643,1.30E-11
58,6.766461766,1.32E-11
2113,6.76201893,1.36E-11
1644,6.760510834,1.38E-11
251,6.757350402,1.41E-11
2968,-6.754060906,1.44E-11
2295,-6.752785606,1.45E-11
737,6.740728639,1.58E-11
3465,-6.729085148,1.71E-11
1954,6.726407297,1.74E-11
1821,-6.721129555,1.80E-11
3401,6.719987191,1.82E-11
2647,6.717972273,1.84E-11
2633,6.717747936,1.85E-11
3233,6.711216501,1.93E-11
2984,6.699728774,2.09E-11
169,6.699728774,2.09E-11
1061,-6.698097888,2.11E-11
858,-6.696929403,2.13E-11
2695,-6.695052755,2.16E-11
381,6.693186415,2.18E-11
1330,6.689566247,2.24E-11
2637,-6.688807567,2.25E-11
2886,6.679119639,2.40E-11
863,6.676539648,2.45E-11
543,6.675019148,2.47E-11
1216,6.659512117,2.75E-11
337,-6.659203088,2.75E-11
1984,6.658225235,2.77E-11
1708,6.658150778,2.77E-11
1943,6.656387142,2.81E-11
3175,6.649214088,2.95E-11
1298,6.649214088,2.95E-11
125,6.649214088,2.95E-11
782,6.649214088,2.95E-11
809,6.649214088,2.95E-11
810,6.648779911,2.96E-11
2479,6.645128141,3.03E-11
471,6.640288855,3.13E-11
3168,6.639330454,3.15E-11
2429,6.637551454,3.19E-11
2444,6.636130678,3.22E-11
1239,6.635781312,3.23E-11
2519,6.63314254,3.29E-11
320,6.630031,3.36E-11
2323,6.62887327,3.38E-11
108,6.626717388,3.43E-11
247,6.625173941,3.47E-11
1568,-6.623076289,3.52E-11
3658,-6.62156234,3.55E-11
3452,-6.616508728,3.68E-11
3077,6.615184774,3.71E-11
1787,6.615068006,3.71E-11
1034,-6.614145965,3.74E-11
1078,-6.613967747,3.74E-11
2653,-6.603226933,4.02E-11
741,6.602353714,4.05E-11
2707,-6.600290562,4.10E-11
2473,-6.599970724,4.11E-11
2293,6.599052108,4.14E-11
135,6.596436533,4.21E-11
2202,6.592176352,4.33E-11
661,6.590756736,4.38E-11
841,6.590709568,4.38E-11
1180,-6.589471424,4.41E-11
1675,-6.583192222,4.60E-11
1658,6.582929567,4.61E-11
2368,6.581879226,4.65E-11
1749,6.580630922,4.68E-11
3759,6.580630922,4.68E-11
792,6.579432292,4.72E-11
1029,-6.573719494,4.91E-11
3108,-6.572535607,4.95E-11
2318,6.57086983,5.00E-11
3671,-6.570193593,5.02E-11
1495,6.569739243,5.04E-11
1152,-6.564983942,5.20E-11
3110,6.564191611,5.23E-11
1092,-6.553120079,5.63E-11
937,-6.543584977,6.01E-11
1011,-6.542661177,6.04E-11
3429,6.54118476,6.10E-11
978,-6.533682558,6.42E-11
2848,6.533179071,6.44E-11
888,6.531719708,6.50E-11
3118,6.529993902,6.58E-11
1091,-6.527478132,6.69E-11
943,-6.527240676,6.70E-11
710,6.526627553,6.73E-11
164,6.526091965,6.75E-11
75,6.5256295,6.77E-11
2961,-6.525083497,6.80E-11
1365,6.524063003,6.84E-11
398,6.520395749,7.01E-11
3324,6.515799502,7.23E-11
1045,-6.513815734,7.33E-11
3205,6.512502013,7.39E-11
706,6.511876348,7.42E-11
3389,6.507850719,7.62E-11
1010,-6.506210477,7.71E-11
3162,6.506106295,7.71E-11
3181,6.493947165,8.36E-11
1324,6.491701509,8.49E-11
1427,6.490084449,8.58E-11
416,6.489656303,8.60E-11
3187,6.488190797,8.69E-11
1456,6.48462971,8.89E-11
3232,6.482630179,9.01E-11
1038,-6.474703256,9.50E-11
3024,6.473889525,9.55E-11
3329,6.471693323,9.69E-11
2411,6.469768908,9.82E-11
470,6.469014584,9.86E-11
1595,6.466124997,1.01E-10
1340,-6.46528801,1.01E-10
539,6.464859872,1.01E-10
2985,6.464694184,1.02E-10
1792,6.459721205,1.05E-10
2993,6.459098937,1.05E-10
3081,6.45881347,1.06E-10
803,6.458536204,1.06E-10
211,-6.4577371,1.06E-10
1613,-6.4577371,1.06E-10
3285,-6.4577371,1.06E-10
1225,6.456222329,1.07E-10
46,6.454247839,1.09E-10
2384,6.454207531,1.09E-10
1230,6.453244609,1.09E-10
491,6.44595636,1.15E-10
126,6.445949163,1.15E-10
1948,-6.445815619,1.15E-10
340,-6.437049715,1.22E-10
563,-6.437049715,1.22E-10
828,6.432554704,1.25E-10
966,-6.431456939,1.26E-10
1432,-6.424929212,1.32E-10
1074,6.424890589,1.32E-10
3164,6.42191376,1.35E-10
1307,6.420529184,1.36E-10
876,6.419198432,1.37E-10
209,6.416831556,1.39E-10
302,6.416831556,1.39E-10
1212,-6.416058244,1.40E-10
153,6.414667584,1.41E-10
461,6.408874209,1.47E-10
2962,6.406596749,1.49E-10
2095,6.402006676,1.53E-10
2465,6.399076798,1.56E-10
49,6.395335769,1.60E-10
3056,-6.394575791,1.61E-10
2355,-6.391648811,1.64E-10
885,6.384487598,1.72E-10
1021,-6.383948601,1.73E-10
3704,6.383445263,1.73E-10
3710,6.382576552,1.74E-10
2331,6.382163851,1.75E-10
472,6.3790377,1.78E-10
2183,6.378957523,1.78E-10
163,6.378465406,1.79E-10
2300,6.377452418,1.80E-10
3114,6.377452418,1.80E-10
40,6.377248008,1.80E-10
795,6.364168148,1.96E-10
162,6.363320378,1.97E-10
1232,6.360433596,2.01E-10
3299,6.36010093,2.02E-10
625,6.359703453,2.02E-10
1266,6.353192129,2.11E-10
1332,6.351799627,2.13E-10
513,6.349825575,2.16E-10
424,6.349631492,2.16E-10
410,6.349022616,2.17E-10
1795,6.348035404,2.18E-10
118,6.345667815,2.21E-10
1188,6.345042431,2.22E-10
444,6.342921798,2.25E-10
503,-6.342514508,2.26E-10
1104,-6.342514508,2.26E-10
1537,-6.342514508,2.26E-10
43,6.339278755,2.31E-10
3421,6.334453465,2.38E-10
2658,6.334130095,2.39E-10
2956,6.326636111,2.51E-10
1559,-6.326610641,2.51E-10
282,6.325777801,2.52E-10
1190,6.317719755,2.65E-10
1348,-6.316262292,2.68E-10
719,6.310622325,2.78E-10
1353,6.309135081,2.81E-10
15,6.305064988,2.88E-10
2604,6.304482855,2.89E-10
2856,6.298987583,3.00E-10
1364,6.295850646,3.06E-10
790,6.294420962,3.09E-10
66,6.293035932,3.11E-10
3347,6.284585031,3.29E-10
113,6.277842608,3.43E-10
2841,6.277842608,3.43E-10
397,6.275931415,3.48E-10
3434,6.268307141,3.65E-10
627,6.263993271,3.75E-10
3400,6.257921792,3.90E-10
3707,-6.25536152,3.97E-10
928,-6.253476214,4.01E-10
703,6.251290355,4.07E-10
390,6.248746366,4.14E-10
2837,6.246448687,4.20E-10
53,6.246448687,4.20E-10
1952,6.246448687,4.20E-10
2825,6.245681411,4.22E-10
1625,6.244168507,4.26E-10
2851,6.244038496,4.26E-10
2359,6.241296129,4.34E-10
2301,-6.239726514,4.38E-10
3235,6.238119169,4.43E-10
1789,6.235988468,4.49E-10
3493,-6.234426054,4.53E-10
1022,6.230951139,4.64E-10
1709,6.227891994,4.73E-10
2198,6.22262872,4.89E-10
165,6.209664364,5.31E-10
3732,-6.198936098,5.68E-10
1956,6.198820993,5.69E-10
293,6.197190254,5.75E-10
2275,6.193705676,5.88E-10
2159,6.19058945,5.99E-10
1995,6.189317854,6.04E-10
1506,6.184824279,6.22E-10
831,6.184636831,6.22E-10
1319,-6.182913435,6.29E-10
401,6.181442704,6.35E-10
2823,6.177462946,6.51E-10
1308,6.176698638,6.55E-10
3645,6.175276882,6.60E-10
2004,6.168765778,6.88E-10
774,6.168546703,6.89E-10
2329,6.167143935,6.95E-10
318,6.157477458,7.39E-10
3117,6.156164466,7.45E-10
468,6.15227894,7.64E-10
2635,6.150715446,7.71E-10
2662,-6.148496138,7.82E-10
950,-6.144389856,8.03E-10
2970,6.141162587,8.19E-10
521,6.139426251,8.28E-10
1647,6.139055434,8.30E-10
2986,6.133596478,8.59E-10
3242,6.131178585,8.72E-10
2088,6.126576454,8.98E-10
110,6.12484748,9.08E-10
1482,6.123623696,9.15E-10
1979,6.118993321,9.42E-10
3332,6.118285348,9.46E-10
288,6.117769586,9.49E-10
1001,-6.116695295,9.55E-10
1611,-6.108226195,1.01E-09
1113,-6.105752798,1.02E-09
976,6.104830455,1.03E-09
1947,6.104539402,1.03E-09
1570,-6.102879439,1.04E-09
2550,6.100754189,1.06E-09
2367,-6.098346747,1.07E-09
2757,6.097326171,1.08E-09
3074,-6.097127783,1.08E-09
3699,6.094201165,1.10E-09
2840,6.091965063,1.12E-09
445,6.091185512,1.12E-09
3641,6.090474863,1.13E-09
2614,6.089960912,1.13E-09
2480,-6.088135831,1.14E-09
546,6.087953721,1.14E-09
3430,-6.081466579,1.19E-09
2593,-6.078238561,1.22E-09
1723,6.078112396,1.22E-09
1839,6.078112396,1.22E-09
696,6.078112396,1.22E-09
2053,6.078112396,1.22E-09
2294,6.078112396,1.22E-09
2422,6.078112396,1.22E-09
2717,6.078112396,1.22E-09
1825,6.076614246,1.23E-09
3462,6.073223244,1.25E-09
64,6.071041186,1.27E-09
2950,6.067911263,1.30E-09
2299,-6.067675043,1.30E-09
1103,6.066362934,1.31E-09
1553,6.065173231,1.32E-09
2168,-6.063629107,1.33E-09
1325,6.063088516,1.34E-09
1289,6.063075899,1.34E-09
1674,6.060728679,1.36E-09
2108,6.060055908,1.36E-09
161,6.056447541,1.39E-09
1203,6.052611739,1.43E-09
3635,6.049599275,1.45E-09
898,-6.049084685,1.46E-09
492,6.03821403,1.56E-09
1838,6.037464759,1.57E-09
2853,6.034297985,1.60E-09
2728,-6.023805545,1.70E-09
81,6.019737954,1.75E-09
3125,6.01922425,1.75E-09
807,6.016068374,1.79E-09
3405,6.010839351,1.85E-09
2339,6.005899868,1.90E-09
3061,-6.005899365,1.90E-09
1931,-6.004569182,1.92E-09
112,6.004458686,1.92E-09
3279,6.00034482,1.97E-09
1205,-5.998114546,2.00E-09
1824,-5.997664378,2.00E-09
2552,-5.995094244,2.03E-09
2091,5.994043987,2.05E-09
2324,5.99154251,2.08E-09
394,5.988693615,2.12E-09
1730,5.988640918,2.12E-09
14,5.987670638,2.13E-09
995,5.985277153,2.16E-09
2663,5.982110651,2.20E-09
967,-5.979557114,2.24E-09
338,-5.979299996,2.24E-09
2608,5.979244291,2.24E-09
3113,-5.97706585,2.27E-09
3214,-5.97706585,2.27E-09
1108,-5.971275997,2.35E-09
1459,5.968629663,2.39E-09
3330,5.960919407,2.51E-09
2161,5.953787387,2.62E-09
29,5.951317267,2.66E-09
1303,5.950584737,2.67E-09
3179,5.947224638,2.73E-09
2720,5.94265996,2.80E-09
1744,5.933094169,2.97E-09
2103,5.930400765,3.02E-09
3327,5.928372546,3.06E-09
1171,5.922533244,3.17E-09
464,-5.922492977,3.17E-09
777,5.921605625,3.19E-09
3599,5.916228994,3.29E-09
2627,5.916119146,3.30E-09
242,5.915260587,3.31E-09
3078,5.914415109,3.33E-09
3208,-5.911366069,3.39E-09
475,-5.903187645,3.57E-09
1781,-5.903187645,3.57E-09
1728,-5.899099596,3.65E-09
1739,5.897808349,3.68E-09
743,5.897405246,3.69E-09
1842,-5.894757396,3.75E-09
3383,-5.893454354,3.78E-09
3677,5.880526184,4.09E-09
2992,5.877340401,4.17E-09
2910,5.865991139,4.46E-09
3536,-5.864026393,4.52E-09
408,5.857177809,4.71E-09
1989,5.851063869,4.88E-09
3597,5.845335345,5.06E-09
688,-5.84393956,5.10E-09
375,5.843814513,5.10E-09
2854,5.84322881,5.12E-09
1357,5.84060243,5.20E-09
3664,5.840024281,5.22E-09
1951,-5.836275401,5.34E-09
653,5.827977092,5.61E-09
1437,5.819668185,5.90E-09
391,5.818130469,5.95E-09
1793,5.815275767,6.05E-09
1367,5.814919366,6.07E-09
295,5.814134886,6.09E-09
3466,5.812948538,6.14E-09
775,5.812019892,6.17E-09
448,5.804700336,6.45E-09
496,5.804700336,6.45E-09
2102,5.796151537,6.79E-09
1064,-5.79607474,6.79E-09
2170,5.790124788,7.03E-09
565,-5.787619712,7.14E-09
1784,5.787348644,7.15E-09
1662,-5.78118432,7.42E-09
2204,5.774946427,7.70E-09
2419,-5.773066534,7.78E-09
473,5.773033923,7.79E-09
1565,-5.772674923,7.80E-09
3277,5.768358231,8.00E-09
1226,5.76506345,8.16E-09
1650,5.755914998,8.62E-09
857,5.753875947,8.72E-09
694,5.746302925,9.12E-09
1222,5.745710639,9.15E-09
3238,5.741119863,9.41E-09
1124,-5.739061477,9.52E-09
835,-5.735215159,9.74E-09
1596,5.734453246,9.78E-09
2908,5.732024078,9.92E-09
1177,-5.731309393,9.97E-09
3063,-5.725805982,1.03E-08
3331,5.715315307,1.10E-08
3670,-5.714386748,1.10E-08
