,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2320,GLT1D1_code_potential_somatic,ENSG00000135457,2320,-1.0,1.6687282337658615,0.6147789272980276,2.8631235837696392e-58,-3.642330837999824,1.3194450118060719,1.0
2815,GLT1D1_code_potential_somatic,ENSG00000277615,2815,-1.0,1.6969393635801941,0.1397222382036479,0.0010401139477505266,-4.312569798584229,1.5381093813560627,1.0
960,GLT1D1_code_potential_somatic,ENSG00000101412,960,-1.0,2.3425403232789725,0.6491518019355196,7.070099083657812e-67,-6.728791878283127,2.5177443944533393,1.0
961,GLT1D1_code_potential_somatic,ENSG00000101412,961,-1.0,2.3425403232789725,0.49108575521205333,1.3174129972347378e-34,-7.359956440881534,3.3618186333659454,1.0
2343,GLT1D1_code_potential_somatic,ENSG00000198914,2343,-1.0,2.6454393429794756,-0.3318981405422859,1.4743340886202337e-15,6.682059410896769,3.0670407179333106,1.0
1811,GLT1D1_code_potential_somatic,ENSG00000281306,1811,1.0,1.6060952970006561,0.3486595327040857,4.150775912575143e-17,2.7146102331562894,2.120195678217458,0.5
2539,GLT1D1_code_potential_somatic,ENSG00000177732,2539,-1.0,2.508338015012323,0.522654965200476,9.64504291485037e-40,-6.895995684649744,2.358047692037274,1.0
2536,GLT1D1_code_potential_somatic,ENSG00000177732,2536,-1.0,2.508338015012323,0.13315675255583104,0.0017845669856231636,-5.140440882785582,1.7795823221438842,1.0
2544,GLT1D1_code_potential_somatic,ENSG00000177732,2544,-1.0,2.508338015012323,0.1265648702110139,0.0029975803511913166,-3.7375984382895178,1.597511963474182,1.0
2031,GLT1D1_code_potential_somatic,ENSG00000054598,2031,1.0,1.9278763784948183,0.3312971417116887,1.6689884729016095e-15,4.3033504429684575,2.063779800721425,1.0
1889,GLT1D1_code_potential_somatic,ENSG00000185697,1889,-1.0,1.5598467948856185,0.5169485389100075,8.969962979303061e-39,-4.749434371676399,2.207348265323427,1.0
1887,GLT1D1_code_potential_somatic,ENSG00000185697,1887,-1.0,1.5598467948856185,0.4812984870682071,4.036880256481482e-33,-7.049322177058606,2.6252203850454943,1.0
3347,GLT1D1_code_potential_somatic,ENSG00000102974,3347,-1.0,1.8902506855906493,0.17700261422095073,3.086210103690775e-05,-4.679418693258857,1.7738419284643558,1.0
3349,GLT1D1_code_potential_somatic,ENSG00000102974,3349,-1.0,1.8902506855906493,0.41531658863963455,2.9070053851603305e-24,-3.7716297753002803,1.3568769330553203,1.0
2168,GLT1D1_code_potential_somatic,ENSG00000124766,2168,-1.0,1.4355361456193942,0.6597120120357272,9.45871801488194e-70,-3.4888680226260798,1.434191732674855,1.0
2175,GLT1D1_code_potential_somatic,ENSG00000124766,2175,-1.0,1.4355361456193942,-0.4322701954237899,2.3415405788698333e-26,9.651751169368227,4.341541035573325,1.0
1660,GLT1D1_code_potential_somatic,ENSG00000143190,1660,-1.0,1.374496528187397,0.5337222543916776,1.1290583056142487e-41,-3.929618113789903,1.7366874152964897,1.0
1166,GLT1D1_code_potential_somatic,ENSG00000162702,1166,-1.0,1.345371248731351,0.5629926183313977,3.8426144745278866e-47,-3.641202449520374,1.555135206823025,1.0
1154,GLT1D1_code_potential_somatic,ENSG00000162702,1154,-1.0,1.345371248731351,0.6845203862347204,5.5469125858192964e-77,-7.582946331412732,3.209124916584771,1.0
1281,GLT1D1_code_potential_somatic,ENSG00000118263,1281,-1.0,1.681045150721226,0.6239234869132542,1.8688886779902213e-60,-2.7322433393198993,1.5053980389600283,1.0
1292,GLT1D1_code_potential_somatic,ENSG00000118263,1292,-1.0,1.681045150721226,0.5005456168102334,4.332669506832742e-36,-3.687364810801211,1.5218160534704475,1.0
1284,GLT1D1_code_potential_somatic,ENSG00000118263,1284,-1.0,1.681045150721226,0.2539414753143121,1.6378851250198773e-09,-3.5584209275219587,1.3229931160862138,1.0
679,GLT1D1_code_potential_somatic,ENSG00000188786,679,-1.0,4.77802261620506,0.39385614689747306,8.876912921229386e-22,-6.032511688704746,2.806484091649808,1.0
683,GLT1D1_code_potential_somatic,ENSG00000188786,683,-1.0,4.77802261620506,0.5801837953885554,1.2893418962724247e-50,-4.1716284631366545,1.5268362674474525,1.0
1873,GLT1D1_code_potential_somatic,ENSG00000118513,1873,-1.0,3.2845974544197323,0.42272816175969147,3.65293684676176e-25,-5.1378033821037725,1.8560290780373707,1.0
1874,GLT1D1_code_potential_somatic,ENSG00000118513,1874,-1.0,3.2845974544197323,0.33191440754171153,1.4693881017477678e-15,-4.742838815956767,1.7494819557449264,1.0
3511,GLT1D1_code_potential_somatic,ENSG00000012048,3511,-1.0,1.870555815881529,0.282706364382193,1.5744687341111183e-11,-5.376445951541808,2.8311778556993183,1.0
937,GLT1D1_code_potential_somatic,ENSG00000106459,937,-1.0,12.15674774384795,0.4553428044973847,2.1037844305876652e-29,-3.667318123000867,1.353168215168533,1.0
922,GLT1D1_code_potential_somatic,ENSG00000106459,922,-1.0,12.15674774384795,0.4616873454161662,2.7773894790156966e-30,-2.465747119028451,1.5654847433206756,1.0
925,GLT1D1_code_potential_somatic,ENSG00000106459,925,-1.0,12.15674774384795,0.7057635292004711,8.94695227448992e-84,-5.690260049156575,1.9456037652896503,1.0
931,GLT1D1_code_potential_somatic,ENSG00000106459,931,-1.0,12.15674774384795,0.37556710058607234,8.45086223838579e-20,-3.7595092175250926,1.4947283151409794,1.0
923,GLT1D1_code_potential_somatic,ENSG00000106459,923,-1.0,12.15674774384795,0.7121543007985294,6.132342355537881e-86,-5.441448678396962,1.8219569345332594,1.0
936,GLT1D1_code_potential_somatic,ENSG00000106459,936,-1.0,12.15674774384795,0.32209322598773776,1.0777482994255514e-14,-3.7638293611972125,1.9884182924914116,1.0
920,GLT1D1_code_potential_somatic,ENSG00000106459,920,-1.0,12.15674774384795,0.7131916472392081,2.6962513095890753e-86,-5.787806737482396,2.2143430157885953,1.0
