Regulon_ID,HRRembrandt,Cox-p-valueRembrandt
1551,8.442072556,3.12E-17
2968,-7.888258424,3.06E-15
1069,7.853279451,4.05E-15
1936,7.678019944,1.62E-14
3035,-7.551337546,4.31E-14
2340,-7.504499081,6.17E-14
3107,-7.504499081,6.17E-14
1359,7.481744045,7.33E-14
1834,-7.416896619,1.20E-13
1048,7.381236592,1.57E-13
2839,7.362992991,1.80E-13
1574,7.348944639,2.00E-13
1100,-7.339037285,2.15E-13
897,7.319157173,2.50E-13
1840,-7.313689747,2.60E-13
2912,-7.300093585,2.88E-13
2004,7.295367423,2.98E-13
1405,-7.29256056,3.04E-13
2185,7.271888456,3.54E-13
1119,7.220877207,5.17E-13
2035,7.198725681,6.08E-13
320,7.193775949,6.30E-13
1638,7.185735552,6.68E-13
2100,7.176166511,7.17E-13
2093,7.157683587,8.21E-13
3082,-7.151379857,8.59E-13
2628,7.143341163,9.11E-13
211,-7.137492792,9.50E-13
1613,-7.137492792,9.50E-13
3285,-7.137492792,9.50E-13
1939,7.120800287,1.07E-12
479,7.104408321,1.21E-12
2830,7.086021494,1.38E-12
439,7.078754044,1.45E-12
3116,7.075377795,1.49E-12
2031,7.066973128,1.58E-12
1612,-7.066585104,1.59E-12
717,-7.05704135,1.70E-12
1502,-7.05244976,1.76E-12
2827,7.03460705,2.00E-12
236,7.017841481,2.25E-12
2954,7.013694805,2.32E-12
3299,6.999415249,2.57E-12
424,6.991655922,2.72E-12
1585,6.989818222,2.75E-12
1872,6.983271779,2.88E-12
1326,6.973276551,3.10E-12
779,6.966742613,3.24E-12
134,6.964359222,3.30E-12
1444,6.954721112,3.53E-12
741,6.954087723,3.55E-12
1232,6.951911105,3.60E-12
26,-6.945293066,3.78E-12
79,6.937342677,4.00E-12
3538,6.927127044,4.29E-12
3033,6.916514961,4.63E-12
1036,6.91121782,4.81E-12
1439,6.899329866,5.22E-12
2052,6.896079227,5.35E-12
422,6.896079227,5.35E-12
795,6.878485587,6.05E-12
299,6.873481789,6.27E-12
1172,6.873481789,6.27E-12
282,6.870241885,6.41E-12
3668,-6.861419605,6.82E-12
1679,6.860466114,6.86E-12
2979,6.860466114,6.86E-12
1518,6.855125227,7.13E-12
405,6.852615793,7.25E-12
1219,6.846034791,7.59E-12
772,6.845621295,7.61E-12
3666,-6.839269788,7.96E-12
374,6.836737034,8.10E-12
1645,6.832348269,8.35E-12
163,6.823787124,8.87E-12
3703,6.807584846,9.93E-12
3199,6.803817087,1.02E-11
1782,6.80104478,1.04E-11
472,6.786966917,1.15E-11
2300,6.782295341,1.18E-11
3114,6.782295341,1.18E-11
2106,6.78005824,1.20E-11
3079,-6.779647698,1.20E-11
2054,6.778830523,1.21E-11
3111,6.778830523,1.21E-11
3389,6.776803354,1.23E-11
460,6.772023175,1.27E-11
1983,6.765909387,1.32E-11
646,6.76168318,1.36E-11
356,6.760441614,1.38E-11
3508,6.746843841,1.51E-11
2624,6.746445192,1.52E-11
3273,6.744356617,1.54E-11
2094,6.742771397,1.55E-11
1460,6.742740545,1.55E-11
2464,-6.737870006,1.61E-11
3630,6.735004838,1.64E-11
42,6.733317763,1.66E-11
1528,-6.732293417,1.67E-11
729,6.732121791,1.67E-11
1838,6.725331094,1.75E-11
3683,-6.724807296,1.76E-11
837,6.722161262,1.79E-11
979,6.713534128,1.90E-11
2507,6.71102267,1.93E-11
768,6.709526902,1.95E-11
3201,6.708159839,1.97E-11
136,6.69428352,2.17E-11
2530,6.691064327,2.22E-11
1291,6.690648301,2.22E-11
2290,6.688739308,2.25E-11
283,6.684251002,2.32E-11
213,6.678164146,2.42E-11
3267,6.671092677,2.54E-11
831,6.669786423,2.56E-11
466,6.668588907,2.58E-11
1224,6.659166525,2.75E-11
1094,6.659160193,2.75E-11
1189,6.657912018,2.78E-11
90,6.652607848,2.88E-11
171,6.652607848,2.88E-11
304,6.652607848,2.88E-11
343,6.652607848,2.88E-11
421,6.652607848,2.88E-11
2005,6.652607848,2.88E-11
239,6.64926989,2.95E-11
3019,6.642756437,3.08E-11
257,6.642611971,3.08E-11
1452,6.642611971,3.08E-11
1575,6.633817432,3.27E-11
770,6.623877324,3.50E-11
9,6.622731096,3.53E-11
846,-6.617787741,3.65E-11
2969,6.61364346,3.75E-11
1557,6.612080688,3.79E-11
3164,6.606766111,3.93E-11
635,6.605545005,3.96E-11
3333,6.605545005,3.96E-11
203,6.605012368,3.97E-11
3645,6.599452649,4.13E-11
1214,6.584901134,4.55E-11
1946,6.583030123,4.61E-11
3239,6.577900932,4.77E-11
319,6.57202395,4.96E-11
2388,6.564452356,5.22E-11
553,6.564159679,5.23E-11
1073,6.561211464,5.34E-11
385,-6.546138734,5.90E-11
1644,6.545793696,5.92E-11
2901,6.536783127,6.29E-11
1169,6.536617986,6.29E-11
3194,6.536469061,6.30E-11
2528,6.536469061,6.30E-11
3181,6.536386243,6.30E-11
1225,6.53178189,6.50E-11
38,6.529736736,6.59E-11
327,6.522440477,6.92E-11
2548,6.513944048,7.32E-11
1445,6.510120797,7.51E-11
1339,6.506680461,7.68E-11
380,6.506667668,7.68E-11
2420,6.492164587,8.46E-11
710,6.4918197,8.48E-11
2956,6.487412002,8.73E-11
1372,6.483576614,8.96E-11
1483,6.478695039,9.25E-11
292,6.476708079,9.37E-11
241,6.469675426,9.82E-11
857,6.459540015,1.05E-10
1446,6.453531712,1.09E-10
1456,6.441790267,1.18E-10
1944,6.438963239,1.20E-10
848,6.436881864,1.22E-10
1353,6.432716575,1.25E-10
2032,6.422063608,1.34E-10
1709,6.421203137,1.35E-10
2723,-6.415771223,1.40E-10
1221,6.414915839,1.41E-10
15,6.412420208,1.43E-10
1591,6.411762976,1.44E-10
3700,6.411762976,1.44E-10
1513,6.409224544,1.46E-10
3311,6.399051192,1.56E-10
730,6.39777324,1.58E-10
28,6.394923416,1.61E-10
705,6.384406946,1.72E-10
1282,6.379857492,1.77E-10
513,6.371512337,1.87E-10
3347,6.370498476,1.88E-10
537,6.36121138,2.00E-10
2939,6.360344906,2.01E-10
2630,6.358702265,2.03E-10
1111,6.356363945,2.07E-10
2444,6.355008257,2.08E-10
2585,6.354564954,2.09E-10
157,6.354536334,2.09E-10
1930,6.351288827,2.14E-10
467,6.348671095,2.17E-10
478,6.341889049,2.27E-10
1492,6.341373828,2.28E-10
997,6.340000229,2.30E-10
2617,6.330812984,2.44E-10
406,6.328779457,2.47E-10
76,-6.327933948,2.48E-10
3018,6.326963982,2.50E-10
1550,6.325226448,2.53E-10
1556,6.322515182,2.57E-10
238,6.321011652,2.60E-10
1488,6.318798546,2.64E-10
1054,6.313552706,2.73E-10
1576,6.311488038,2.76E-10
1171,6.299815414,2.98E-10
3159,-6.293559582,3.10E-10
489,-6.293007007,3.11E-10
3286,6.288122592,3.21E-10
2112,6.278410493,3.42E-10
1506,6.276861259,3.45E-10
2204,6.276861259,3.45E-10
1578,6.27369015,3.53E-10
3476,6.273518029,3.53E-10
1785,6.273130425,3.54E-10
1299,6.272046347,3.56E-10
411,6.271879933,3.57E-10
1870,-6.270502073,3.60E-10
1345,6.267901912,3.66E-10
3169,6.265652419,3.71E-10
6,6.263088276,3.77E-10
165,6.248870962,4.13E-10
3463,6.242238507,4.31E-10
1563,6.24169747,4.33E-10
1340,-6.241046538,4.35E-10
442,6.240811195,4.35E-10
50,6.236065065,4.49E-10
394,6.235184696,4.51E-10
1780,6.233874502,4.55E-10
360,6.231667626,4.61E-10
1954,6.230770489,4.64E-10
49,6.229276201,4.69E-10
153,6.229070102,4.69E-10
728,6.221110731,4.94E-10
303,6.216264435,5.09E-10
1402,6.208686998,5.34E-10
1023,6.203034752,5.54E-10
1022,6.199450245,5.67E-10
2855,6.197498243,5.74E-10
3232,6.195623699,5.81E-10
1734,6.195409123,5.81E-10
493,6.191391173,5.96E-10
370,6.190833454,5.98E-10
3741,6.186481483,6.15E-10
149,6.182196541,6.32E-10
2416,6.178024707,6.49E-10
47,6.173708296,6.67E-10
3659,6.169487457,6.85E-10
3122,6.162092562,7.18E-10
3569,6.162092562,7.18E-10
1429,6.159541961,7.30E-10
3235,6.158883261,7.33E-10
3329,6.147547917,7.87E-10
3192,-6.137250955,8.40E-10
1063,6.1309771,8.73E-10
1590,6.127750002,8.91E-10
3078,6.125070805,9.06E-10
1067,-6.124517742,9.10E-10
877,6.106232856,1.02E-09
775,6.100809616,1.06E-09
1985,6.092987784,1.11E-09
1078,-6.088569689,1.14E-09
3021,6.082354457,1.18E-09
3125,6.073785377,1.25E-09
3435,6.072405134,1.26E-09
446,6.070397308,1.28E-09
1937,6.067649491,1.30E-09
1197,6.061108995,1.35E-09
1792,6.058780906,1.37E-09
2287,6.052736583,1.42E-09
448,6.048646056,1.46E-09
496,6.048646056,1.46E-09
155,6.034267974,1.60E-09
416,6.032456409,1.61E-09
1677,-6.031997573,1.62E-09
626,6.029895454,1.64E-09
1748,6.022049345,1.72E-09
2411,6.01825176,1.76E-09
1520,6.009662782,1.86E-09
2523,-6.001004358,1.96E-09
2850,5.995951254,2.02E-09
37,5.99190833,2.07E-09
1706,5.989435115,2.11E-09
2103,5.987252024,2.13E-09
2282,5.986177799,2.15E-09
1161,5.98482832,2.17E-09
714,5.982905424,2.19E-09
1113,-5.982360991,2.20E-09
800,5.979826776,2.23E-09
629,5.976052467,2.29E-09
1526,5.961531071,2.50E-09
1589,5.960747909,2.51E-09
1227,5.959371883,2.53E-09
196,-5.959325327,2.53E-09
1604,-5.958971827,2.54E-09
1829,5.952221077,2.65E-09
3567,5.952145362,2.65E-09
2141,5.950989836,2.67E-09
2730,5.949338925,2.69E-09
1449,5.949151475,2.70E-09
1554,5.946229272,2.74E-09
64,5.945213385,2.76E-09
2821,5.938704642,2.87E-09
217,5.920291884,3.21E-09
542,5.919112952,3.24E-09
2848,5.916321368,3.29E-09
2280,5.905552176,3.51E-09
398,5.905406023,3.52E-09
1218,5.90413893,3.54E-09
391,5.903842393,3.55E-09
1367,5.903371452,3.56E-09
1503,5.901860823,3.59E-09
1328,5.898607858,3.67E-09
704,5.894769077,3.75E-09
538,5.889711257,3.87E-09
680,5.885753277,3.96E-09
3272,5.882398115,4.04E-09
1707,5.879603176,4.11E-09
13,5.879506005,4.11E-09
245,5.874135218,4.25E-09
3698,5.871245219,4.33E-09
1121,5.869578869,4.37E-09
990,5.861158353,4.60E-09
2183,5.859954543,4.63E-09
3070,5.858019596,4.68E-09
1571,5.856669336,4.72E-09
1641,5.855608171,4.75E-09
1434,5.852671039,4.84E-09
2299,-5.849501509,4.93E-09
1222,5.846555024,5.02E-09
1457,5.845195078,5.06E-09
3593,5.84485935,5.07E-09
2701,-5.844021173,5.10E-09
777,5.840453459,5.21E-09
3028,5.834294912,5.40E-09
2176,5.831486997,5.49E-09
3699,5.829991885,5.54E-09
1369,5.828002984,5.61E-09
3062,5.826596171,5.66E-09
70,5.824462633,5.73E-09
39,5.818889741,5.92E-09
665,5.815293985,6.05E-09
14,5.804747317,6.45E-09
1287,-5.801731305,6.56E-09
409,5.798506425,6.69E-09
413,5.798138017,6.71E-09
732,5.797418664,6.73E-09
713,5.796548371,6.77E-09
921,5.794343475,6.86E-09
3112,5.791889138,6.96E-09
3284,5.791889138,6.96E-09
1068,5.789629634,7.05E-09
3386,5.789556357,7.06E-09
3377,5.789469031,7.06E-09
2963,5.789228914,7.07E-09
2505,5.787334421,7.15E-09
719,5.78472334,7.26E-09
470,5.780022587,7.47E-09
2407,5.77768098,7.57E-09
3072,5.776743665,7.62E-09
481,5.772946131,7.79E-09
81,5.768113202,8.02E-09
1015,5.767885855,8.03E-09
1021,-5.767798985,8.03E-09
397,5.758028205,8.51E-09
250,5.757497443,8.54E-09
465,5.75218027,8.81E-09
769,5.746878638,9.09E-09
572,5.745970929,9.14E-09
3633,5.743863346,9.25E-09
1515,5.738191856,9.57E-09
943,-5.735002683,9.75E-09
1998,5.734541181,9.78E-09
2714,5.732425852,9.90E-09
2198,5.730332095,1.00E-08
3613,5.727444684,1.02E-08
515,5.72485617,1.04E-08
2520,5.723372085,1.04E-08
3436,5.722923309,1.05E-08
3213,5.722550541,1.05E-08
663,5.719807749,1.07E-08
743,5.718890766,1.07E-08
296,5.709496609,1.13E-08
828,5.7074069,1.15E-08
53,5.6988177,1.21E-08
1952,5.6988177,1.21E-08
2837,5.6988177,1.21E-08
1600,5.676302558,1.38E-08
252,5.675292489,1.38E-08
3168,5.663746817,1.48E-08
2853,5.660534154,1.51E-08
2327,5.656529645,1.54E-08
135,5.650367571,1.60E-08
318,5.648936748,1.61E-08
483,5.641921053,1.68E-08
2957,5.634433896,1.76E-08
3058,5.634073276,1.76E-08
677,5.63406468,1.76E-08
2822,5.628360527,1.82E-08
2036,5.62561052,1.85E-08
3525,5.624466562,1.86E-08
1646,5.623190633,1.87E-08
630,5.622543343,1.88E-08
3324,5.614483952,1.97E-08
2658,5.613424675,1.98E-08
1230,5.608177432,2.04E-08
3024,5.607348665,2.05E-08
2907,5.599532485,2.15E-08
381,5.598687056,2.16E-08
251,5.597181413,2.18E-08
2041,-5.590814151,2.26E-08
2854,5.586974487,2.31E-08
3635,5.586974487,2.31E-08
3638,5.584878742,2.34E-08
3233,5.58380511,2.35E-08
1041,5.582133609,2.38E-08
46,5.574927679,2.48E-08
805,5.5686353,2.57E-08
423,5.554956131,2.78E-08
404,5.550458356,2.85E-08
706,5.549542803,2.86E-08
393,5.544441802,2.95E-08
2179,5.543912968,2.96E-08
1830,5.537582906,3.07E-08
803,5.537360001,3.07E-08
995,5.53372953,3.13E-08
796,5.531819082,3.17E-08
1953,5.530471773,3.19E-08
999,-5.526815627,3.26E-08
443,5.525891094,3.28E-08
1352,5.523974361,3.31E-08
978,-5.523004836,3.33E-08
3327,5.522691955,3.34E-08
1123,5.521148921,3.37E-08
66,5.518349206,3.42E-08
3120,5.518054084,3.43E-08
2368,5.509779299,3.59E-08
858,-5.50768611,3.64E-08
2202,5.506519165,3.66E-08
2470,5.503323068,3.73E-08
2824,5.496728346,3.87E-08
810,5.494609852,3.92E-08
1103,5.490574675,4.01E-08
375,5.487305929,4.08E-08
410,5.484928572,4.14E-08
3184,5.482202343,4.20E-08
2995,5.480404055,4.24E-08
210,5.477994847,4.30E-08
2844,5.477994847,4.30E-08
3383,-5.476916544,4.33E-08
2696,5.472952581,4.43E-08
2039,5.471190194,4.47E-08
3529,5.46956178,4.51E-08
2825,5.468978215,4.53E-08
1956,5.464360322,4.65E-08
2,-5.463923602,4.66E-08
444,5.456832612,4.85E-08
3421,5.453959765,4.93E-08
3118,5.453733328,4.93E-08
3193,5.445154023,5.18E-08
2331,5.441890907,5.27E-08
1674,5.441515294,5.28E-08
1995,5.440666778,5.31E-08
844,5.440196355,5.32E-08
396,5.435936229,5.45E-08
2391,5.433648817,5.52E-08
539,5.429517734,5.65E-08
1940,5.428583063,5.68E-08
651,-5.428241118,5.69E-08
2627,5.425928142,5.77E-08
1327,5.424501261,5.81E-08
3205,5.422102676,5.89E-08
40,5.42187874,5.90E-08
1153,-5.420946515,5.93E-08
1553,5.416630293,6.07E-08
1997,5.415930575,6.10E-08
3664,5.408956715,6.34E-08
384,5.4087276,6.35E-08
1283,5.401289971,6.62E-08
625,5.394932812,6.85E-08
295,5.38874992,7.09E-08
2038,5.386775306,7.17E-08
3053,5.383793952,7.29E-08
536,5.37662487,7.59E-08
520,5.37298308,7.74E-08
1732,5.372467197,7.77E-08
75,5.371758739,7.80E-08
438,5.371758578,7.80E-08
1097,5.371430498,7.81E-08
499,5.368892877,7.92E-08
2050,5.368892877,7.92E-08
2709,5.368892877,7.92E-08
1190,5.368672682,7.93E-08
2206,5.364423598,8.12E-08
859,-5.363517339,8.16E-08
3189,5.36215203,8.22E-08
461,5.35690675,8.47E-08
725,5.354387201,8.58E-08
1955,5.353694198,8.62E-08
1990,5.347703072,8.91E-08
1523,5.343500169,9.12E-08
1170,-5.34324435,9.13E-08
1555,5.34297388,9.14E-08
841,5.339831874,9.30E-08
2999,5.337721834,9.41E-08
1640,5.337535522,9.42E-08
1943,5.336130881,9.50E-08
1401,5.332951431,9.66E-08
2355,-5.325121988,1.01E-07
3081,5.32490242,1.01E-07
2324,5.3195526,1.04E-07
3271,5.319366997,1.04E-07
1039,5.309515221,1.10E-07
789,5.306491607,1.12E-07
244,5.303003753,1.14E-07
2326,5.30284823,1.14E-07
441,5.302838674,1.14E-07
1087,-5.30031745,1.16E-07
2666,5.296297591,1.18E-07
2698,5.29425109,1.20E-07
3123,5.29245409,1.21E-07
141,5.286675804,1.25E-07
56,5.282595448,1.27E-07
78,5.282595448,1.27E-07
2113,5.274978553,1.33E-07
1057,5.272783928,1.34E-07
1984,5.272242063,1.35E-07
1947,5.269948818,1.36E-07
1749,5.269293304,1.37E-07
703,5.266602037,1.39E-07
2644,5.263025312,1.42E-07
2841,5.260241149,1.44E-07
3216,5.260185539,1.44E-07
2992,5.251733507,1.51E-07
2101,5.249537022,1.52E-07
1710,5.245619458,1.56E-07
3098,5.24325087,1.58E-07
794,5.242467356,1.58E-07
2975,5.23506636,1.65E-07
1319,-5.230821296,1.69E-07
482,5.226487646,1.73E-07
3165,5.212343093,1.86E-07
2587,5.212248631,1.87E-07
1336,5.20543793,1.94E-07
1081,5.203304,1.96E-07
2862,5.201666377,1.98E-07
87,5.198482503,2.01E-07
1106,5.198482503,2.01E-07
1657,5.198482503,2.01E-07
2169,5.198482503,2.01E-07
2838,5.198482503,2.01E-07
3032,5.18871088,2.12E-07
2201,5.188286136,2.12E-07
82,5.184522677,2.17E-07
1168,-5.183322535,2.18E-07
3000,5.180542815,2.21E-07
1014,5.179598965,2.22E-07
712,5.179482451,2.23E-07
1495,5.171433584,2.32E-07
2158,-5.167016376,2.38E-07
664,5.166074958,2.39E-07
827,5.165669855,2.40E-07
3591,5.162048927,2.44E-07
2660,5.156558559,2.52E-07
1433,5.155959444,2.52E-07
528,5.152302734,2.57E-07
1724,5.148441799,2.63E-07
3348,5.148441799,2.63E-07
1346,5.14544587,2.67E-07
2989,5.144500217,2.68E-07
3163,5.14223588,2.71E-07
209,5.138432993,2.77E-07
302,5.138432993,2.77E-07
2909,5.125817674,2.96E-07
1157,5.125573533,2.97E-07
1,-5.123530027,3.00E-07
1426,-5.123530027,3.00E-07
1455,-5.123530027,3.00E-07
418,5.122578105,3.01E-07
462,5.117105658,3.10E-07
3331,5.116920644,3.11E-07
1188,5.116016396,3.12E-07
147,-5.11550264,3.13E-07
142,5.113435136,3.16E-07
1595,5.109827056,3.22E-07
564,-5.109278444,3.23E-07
1525,5.107667286,3.26E-07
879,5.107230591,3.27E-07
2321,5.106240287,3.29E-07
2318,5.104657481,3.31E-07
2001,5.10453115,3.32E-07
3351,5.10453115,3.32E-07
550,5.102898717,3.34E-07
2851,5.102223063,3.36E-07
807,5.097952699,3.43E-07
1275,5.097952699,3.43E-07
2620,5.096248029,3.46E-07
3313,5.092152864,3.54E-07
516,5.090974084,3.56E-07
1708,5.089090897,3.60E-07
1228,5.088840737,3.60E-07
696,5.082545366,3.72E-07
1723,5.082545366,3.72E-07
1839,5.082545366,3.72E-07
2053,5.082545366,3.72E-07
2294,5.082545366,3.72E-07
2422,5.082545366,3.72E-07
2717,5.082545366,3.72E-07
164,5.082190307,3.73E-07
2712,5.081875185,3.74E-07
208,5.077883016,3.82E-07
3153,5.077314439,3.83E-07
1668,5.076241924,3.85E-07
2993,5.073482649,3.91E-07
551,5.069694166,3.98E-07
1486,5.067165878,4.04E-07
3434,5.06701814,4.04E-07
215,5.064492207,4.09E-07
2410,5.058424727,4.23E-07
3005,-5.055184551,4.30E-07
469,5.051589809,4.38E-07
3442,5.0486164,4.45E-07
1648,5.047449691,4.48E-07
2550,5.044464624,4.55E-07
2448,-5.037675592,4.71E-07
850,-5.032154385,4.85E-07
2519,5.025177526,5.03E-07
773,5.024524823,5.05E-07
2898,5.02416588,5.06E-07
3115,5.022110923,5.11E-07
44,5.022070595,5.11E-07
456,5.019886796,5.17E-07
1355,5.019886796,5.17E-07
1583,5.019886796,5.17E-07
2424,5.019886796,5.17E-07
1795,5.017791154,5.23E-07
3234,5.014269524,5.32E-07
1658,5.013424871,5.35E-07
1324,5.012837495,5.36E-07
2946,5.012606976,5.37E-07
3429,5.010335091,5.43E-07
29,5.004377852,5.60E-07
1534,5.001945434,5.68E-07
1835,5.001945434,5.68E-07
3106,4.998866058,5.77E-07
1653,4.996968068,5.82E-07
2466,4.996542013,5.84E-07
2840,4.9948584,5.89E-07
2890,-4.991944916,5.98E-07
233,4.989967248,6.04E-07
1647,4.988296845,6.09E-07
1789,4.986606456,6.14E-07
1026,4.984077036,6.23E-07
3071,4.983322095,6.25E-07
1485,4.98288048,6.26E-07
2978,4.977639347,6.44E-07
2440,4.971931295,6.63E-07
544,4.97191939,6.63E-07
3057,4.971075078,6.66E-07
840,-4.967685044,6.78E-07
3162,4.966433231,6.82E-07
1729,4.963467439,6.92E-07
2033,4.963336067,6.93E-07
3592,4.961218856,7.01E-07
2943,4.960132476,7.04E-07
2914,4.957425626,7.14E-07
623,4.955314856,7.22E-07
678,4.952135497,7.34E-07
1775,4.945588222,7.59E-07
1988,4.941007212,7.77E-07
2293,4.940012078,7.81E-07
642,4.936153297,7.97E-07
885,4.931982054,8.14E-07
1253,-4.929085923,8.26E-07
216,4.928632399,8.28E-07
3558,-4.927229328,8.34E-07
864,4.92669649,8.36E-07
3280,-4.923743711,8.49E-07
733,-4.922201739,8.56E-07
1128,-4.922201739,8.56E-07
3365,-4.920869421,8.62E-07
1271,-4.920770748,8.62E-07
521,4.909005656,9.15E-07
888,4.907228969,9.24E-07
567,4.904857979,9.35E-07
522,4.902866643,9.44E-07
771,4.897709196,9.70E-07
2637,-4.8961557,9.77E-07
255,4.893716826,9.89E-07
2159,4.891192446,1.00E-06
1656,4.883466479,1.04E-06
782,4.880201468,1.06E-06
809,4.880201468,1.06E-06
1298,4.880201468,1.06E-06
3175,4.880201468,1.06E-06
3303,4.880032449,1.06E-06
1643,4.876640115,1.08E-06
3677,4.871263578,1.11E-06
838,4.870338725,1.11E-06
1517,4.864121916,1.15E-06
72,4.858121538,1.19E-06
691,4.855888579,1.20E-06
2421,4.855888579,1.20E-06
1297,4.855328392,1.20E-06
1012,4.855311295,1.20E-06
1579,-4.854014173,1.21E-06
1836,-4.854014173,1.21E-06
417,4.854003216,1.21E-06
2970,4.85118013,1.23E-06
1459,4.850984382,1.23E-06
3080,4.846674868,1.26E-06
1268,4.846054184,1.26E-06
73,4.844782493,1.27E-06
378,4.841536563,1.29E-06
3212,4.835089353,1.33E-06
2950,4.832885975,1.35E-06
2350,4.831020963,1.36E-06
3238,4.828792902,1.37E-06
2460,-4.827653075,1.38E-06
162,4.825611464,1.40E-06
3025,4.823074898,1.41E-06
146,4.822717916,1.42E-06
1522,4.82062988,1.43E-06
3391,4.819045572,1.44E-06
1399,4.817467923,1.45E-06
281,4.812050343,1.49E-06
701,4.811683455,1.50E-06
218,4.809901749,1.51E-06
3187,4.80914878,1.52E-06
2522,4.807549142,1.53E-06
392,4.804017371,1.56E-06
2663,4.80030263,1.58E-06
395,4.797611774,1.61E-06
1129,-4.796275142,1.62E-06
1005,-4.79618142,1.62E-06
1730,4.793542106,1.64E-06
2647,4.79120371,1.66E-06
2916,4.78907653,1.68E-06
235,4.789067035,1.68E-06
1313,4.78751075,1.69E-06
1596,4.780751794,1.75E-06
1200,4.765404216,1.88E-06
508,-4.764749537,1.89E-06
2656,4.762432492,1.91E-06
2856,4.759395125,1.94E-06
711,4.757209375,1.96E-06
3157,4.756175455,1.97E-06
3197,4.756021616,1.97E-06
51,4.755869066,1.98E-06
3328,4.75464162,1.99E-06
3590,4.753603145,2.00E-06
1216,4.749955855,2.03E-06
2719,-4.747481118,2.06E-06
1365,4.746738283,2.07E-06
3640,4.7458525,2.08E-06
1623,4.743757898,2.10E-06
321,4.74215662,2.11E-06
1357,4.736991675,2.17E-06
506,4.735903078,2.18E-06
420,4.735316536,2.19E-06
151,4.728728801,2.26E-06
399,4.728728801,2.26E-06
154,4.728236004,2.26E-06
1085,-4.726589355,2.28E-06
2664,4.722562542,2.33E-06
1655,4.71935906,2.37E-06
2861,4.719288715,2.37E-06
358,4.71627369,2.40E-06
2955,4.711007068,2.46E-06
690,4.709190267,2.49E-06
437,4.706802343,2.52E-06
1310,4.706394038,2.52E-06
2722,4.704810628,2.54E-06
3200,4.702438608,2.57E-06
662,4.701192206,2.59E-06
774,4.699933876,2.60E-06
1203,4.689261466,2.74E-06
734,4.688388523,2.75E-06
2661,4.681364409,2.85E-06
693,4.680636019,2.86E-06
1030,4.680636019,2.86E-06
501,4.680636019,2.86E-06
1720,4.680636019,2.86E-06
2051,4.680636019,2.86E-06
2292,4.680636019,2.86E-06
2529,4.680636019,2.86E-06
3637,4.680636019,2.86E-06
3676,4.680636019,2.86E-06
808,4.677226214,2.91E-06
694,4.672254994,2.98E-06
1391,-4.671688149,2.99E-06
3657,4.665896421,3.07E-06
1796,4.664932298,3.09E-06
1926,4.662411083,3.13E-06
317,4.654744632,3.24E-06
3678,4.653654339,3.26E-06
2729,4.65257475,3.28E-06
173,4.646836525,3.37E-06
150,4.644984037,3.40E-06
3379,-4.643778848,3.42E-06
369,4.643086583,3.43E-06
788,4.642650776,3.44E-06
2383,4.640674854,3.47E-06
1793,4.638632691,3.51E-06
2843,4.638603336,3.51E-06
3428,4.636996548,3.54E-06
202,4.636736824,3.54E-06
2359,4.632425535,3.61E-06
1126,4.631540799,3.63E-06
2279,4.627352786,3.70E-06
